model,mean_change,median_change,std_change,min_change,max_change
UKESM1-0-LL,0.15608465671539307,0.0,0.19506901502609253,-0.10000000149011612,0.699999988079071
GFDL-CM4,0.15438398718833923,0.0,0.1917114108800888,-0.06666667014360428,0.7333333492279053
GISS-E2-1-G,0.14832767844200134,0.0,0.18757808208465576,-0.06666667014360428,0.7333333492279053
IPSL-CM6A-LR,0.14526644349098206,0.0,0.193290114402771,-0.20000000298023224,0.7333333492279053
CESM2-WACCM,0.1338340938091278,0.0,0.17111432552337646,-0.06666667014360428,0.6666666865348816
TaiESM1,0.12739986181259155,0.0,0.1608060747385025,-0.06666667014360428,0.6666666865348816
EC-Earth3-Veg-LR,0.12585978209972382,0.0,0.1725945621728897,-0.10000000149011612,0.800000011920929
EC-Earth3,0.12215608358383179,0.0,0.15876421332359314,-0.10000000149011612,0.6333333253860474
HadGEM3-GC31-LL,0.11683674156665802,0.0,0.16822393238544464,-0.10000000149011612,0.699999988079071
KIOST-ESM,0.11642101407051086,0.0,0.145826518535614,-0.03333333507180214,0.6000000238418579
ACCESS-ESM1-5,0.11590135842561722,0.0,0.14774928987026215,-0.1666666716337204,0.6333333253860474
MIROC6,0.11492819339036942,0.0,0.16275493800640106,-0.10000000149011612,0.7333333492279053
GFDL-ESM4,0.1140778586268425,0.0,0.15023992955684662,-0.06666667014360428,0.6333333253860474
NorESM2-MM,0.11338813602924347,0.0,0.1480002999305725,-0.10000000149011612,0.5666666626930237
ACCESS-CM2,0.10997732728719711,0.0,0.148493230342865,-0.10000000149011612,0.6333333253860474
NESM3,0.10206916183233261,0.0,0.14552123844623566,-0.06666667014360428,0.6000000238418579
CNRM-CM6-1,0.10058579593896866,0.0,0.1368316113948822,-0.06666667014360428,0.5666666626930237
CESM2,0.09961263090372086,0.0,0.13479280471801758,-0.10000000149011612,0.6333333253860474
NorESM2-LM,0.08893612772226334,0.0,0.12465665489435196,-0.06666667014360428,0.6000000238418579
BCC-CSM2-MR,0.08685752749443054,0.0,0.13797496259212494,-0.20000000298023224,0.6000000238418579
KACE-1-0-G,0.08674413710832596,0.0,0.13584540784358978,-0.10000000149011612,0.6000000238418579
FGOALS-g3,0.08348450809717178,0.0,0.11282679438591003,-0.06666667014360428,0.5333333611488342
CNRM-ESM2-1,0.08211451768875122,0.0,0.12383659183979034,-0.10000000149011612,0.5333333611488342
CMCC-ESM2,0.08006425201892853,0.0,0.12016154825687408,-0.30000001192092896,0.6000000238418579
CanESM5,0.07707861065864563,0.0,0.12509480118751526,-0.20000000298023224,0.6000000238418579
INM-CM4-8,0.0724395364522934,0.0,0.10721218585968018,-0.13333334028720856,0.46666666865348816
MRI-ESM2-0,0.07128684967756271,0.0,0.11714514344930649,-0.13333334028720856,0.6000000238418579
MPI-ESM1-2-HR,0.06895314157009125,0.0,0.10376419872045517,-0.06666667014360428,0.5333333611488342
INM-CM5-0,0.06863190233707428,0.0,0.10344856232404709,-0.10000000149011612,0.46666666865348816
CMCC-CM2-SR5,0.06810279190540314,0.0,0.10867141932249069,-0.13333334028720856,0.5333333611488342
MIROC-ES2L,0.04521920159459114,0.0,0.09082955867052078,-0.10000000149011612,0.46666666865348816
MPI-ESM1-2-LR,0.03727324306964874,0.0,0.07269535958766937,-0.13333334028720856,0.3333333432674408
